"Teff","Lum","Mass","Radius","Age"
791,-5.404,0.015,0.107,500
936,-5.133,0.02,0.104,500
1264,-4.636,0.03,0.101,500
1583,-4.255,0.04,0.1,500
1875,-3.955,0.05,0.101,500
2116,-3.729,0.06,0.102,500
2329,-3.534,0.07,0.106,500
2369,-3.498,0.072,0.107,500
2426,-3.445,0.075,0.108,500
2518,-3.356,0.08,0.111,500
2680,-3.189,0.09,0.119,500
2804,-3.047,0.1,0.128,500
111,-8.851,0.0005,0.102,1000
160,-8.185,0.001,0.106,1000
226,-7.56,0.002,0.109,1000
270,-7.244,0.003,0.111,1000
304,-7.031,0.004,0.111,1000
342,-6.831,0.005,0.11,1000
377,-6.664,0.006,0.11,1000
403,-6.556,0.007,0.109,1000
438,-6.417,0.008,0.108,1000
464,-6.325,0.009,0.107,1000
491,-6.235,0.01,0.107,1000
578,-5.955,0.012,0.106,1000
628,-5.835,0.015,0.103,1000
766,-5.514,0.02,0.1,1000
1009,-5.071,0.03,0.096,1000
1271,-4.696,0.04,0.093,1000
1543,-4.374,0.05,0.092,1000
1801,-4.106,0.06,0.092,1000
2082,-3.829,0.07,0.094,1000
2140,-3.772,0.072,0.095,1000
2234,-3.679,0.075,0.098,1000
2383,-3.527,0.08,0.102,1000
2627,-3.268,0.09,0.113,1000
2784,-3.083,0.1,0.125,1000
129,-8.57,0.002,0.105,5000
162,-8.166,0.003,0.105,5000
193,-7.867,0.004,0.105,5000
220,-7.644,0.005,0.105,5000
244,-7.469,0.006,0.104,5000
265,-7.328,0.007,0.103,5000
284,-7.217,0.008,0.103,5000
301,-7.124,0.009,0.102,5000
322,-7.015,0.01,0.101,5000
361,-6.823,0.012,0.1,5000
399,-6.671,0.015,0.098,5000
473,-6.401,0.02,0.095,5000
610,-6.008,0.03,0.09,5000
760,-5.67,0.04,0.085,5000
931,-5.353,0.05,0.082,5000
1120,-5.058,0.06,0.079,5000
1524,-4.504,0.07,0.081,5000
1712,-4.278,0.072,0.083,5000
2006,-3.942,0.075,0.089,5000
2320,-3.603,0.08,0.099,5000
2622,-3.275,0.09,0.113,5000
2785,-3.083,0.1,0.125,5000
